  Кон▓░аген▓и                   
 +----------+--------------------------------+---------------+--------------------------------+-----------------+-----------------+----------------------+
 | Код      | Име                            | ЕИК/ЕГН       | Ад░е▒                          | Теле┤он         | Фак▒            | e-mail               |
 | 48       | МАКРО КОНСУЛТ ООД              | 103500129     | г░. Ва░на, │л."Ба▓ак", ╣4, в╡. |                 |                 |                      | 
 | 49       | МЕГАПОРТ ООД                   | 104030376     | г░. В. Т║░ново, │л. "Н. Габ░ов |                 |                 |                      | 
 | 50       | НУТ 2007 ЕООД                  | 175220189     | г░. Со┤и┐, │л. "Слав┐н▒ка", ╣2 |                 |                 |                      | 
 | 51       | РИА 1 - РУМЕН ВАНКОВ ЕТ        | 126035924     | г░. Дими▓░овг░ад,│л."Нео┤и▓ Бо |                 |                 |                      | 
 | 52       | БУКХАУС АД                     | 200633075     | г░. Со┤и┐, │л. "Глад▒▓о│н", 21 |                 |                 |                      | 
 | 53       | ТЕХНОДОМ-ЗДРАВЕЦ ООД           | 117651657     | г░. Р│▒е, б│л. "Липник", ╣62   |                 |                 |                      | 
 | 54       | РЕЛАКС ООД                     | 124041519     | г░. Кава░на, │л. "С▓.Ка░аджа", |                 |                 |                      | 
 | 56       | БИЗНЕСКОНСУЛТ ООД              | 103095976     | г░. Ва░на, │л. "Оде▒о▒", 19    |                 |                 |                      | 
 | 57       | ПАФИАНА ООД                    | 103816839     | г░. Ва░на, │л. "Ал. Малинов",  |                 |                 |                      | 
 | 58       | АССОС ЕААД -клон Ва░на         | 1270637660016 | г░. Ва░на, │л. " Ген. Ки▒елов" |                 |                 |                      | 
 | 60       | ТОНИ КЛИЙН ООД                 | 200044988     | г░. Ва░на, │л. "Железни в░а▓а" |                 |                 |                      | 
 | 61       | ЕЛ ДИ ЕООД                     | 148049951     | г░. Ва░на, кв. "Победа", бл. 1 |                 |                 |                      | 
 | 62       | ДКС ЕАД                        | 103156991     | г░. Ва░на, б│л. "Кн┐з Бо░и▒ I" |                 |                 |                      | 
 | 63       | ГРАНТ ИНВЕСТ ООД               | 148107148     | г░. Ва░на, ж.к. "Чайка", бл. 2 |                 |                 |                      | 
 | 67       | ДАНИСА 78 ЕТ                   | 30029770      | г░. Ва░на, │л. "Ба│╖е░", бл.1, |                 |                 |                      | 
 | 69       | КОТКИТЕ ООД                    | 103842360     | г░. Ва░на, │л. "Панайо▓ Волов" |                 |                 |                      | 
 | 71       | ЛЕХ - Ба░ба░а Дими▓░ова ЕТ     | 103178660     | г░. Ва░на, │л. "Л╛ле Б│░га▒",  |                 |                 |                      | 
 | 72       | ЕМОНА 91 - Тодо░ Гео░гиев      | 103052971     | г░. Ва░на, │л. "Емине", 4      |                 |                 |                      | 
 | 73       | СУПЕРНОВА ООД                  | 148058808     | г░. Ва░на, │л. "Д-░ Ба▒анови╖" |                 |                 |                      | 
 | 74       | ЛАКОСТ ЕФ ЕТ                   | 103135118     | г░. Ва░на, м. "Мана▒▓и░▒ки ░ид |                 |                 |                      | 
 | 75       | КОСЕВА ДЗЗД                    | 103901150     | г░. Ва░на, │л. "Б░а▓┐ Б║к▒▓он" |                 |                 |                      | 
 | 76       | ДОБРЕВИ ДЗЗД                   | 103766998     | г░. Ва░на, │л. "Подви▒", 28, в |                 |                 |                      | 
 | 77       | МИКРА - ДЖУС ЕООД              | 813205657     | г░. Ва░на, │л. "Йо▒и┤ С▓о┐нов" |                 |                 |                      | 
 | 79       | ДОНИ ДЗЗД                      | 175661387     | г░. Ва░на, │л. "Дж. Ба│╖е░", б |                 |                 |                      | 
 | 80       | ЕКСПРОЕКТ С ЕООД               | 103598792     | г░. Ва░на, │л. "Н. Ге░ов", 45, |                 |                 |                      | 
 | 81       | ТИ БИ КОМ ЕООД                 | 103983667     | г░. Ва░на, м-▒▓ "Св. Никола",  |                 |                 |                      | 
 | 82       | НИНОВСКИ - ИЛИЧ ИВАНОВ ЕТ      | 106503850     | ▒. Б│▓ан, В░а╖ан▒ка обл., │л.  |                 |                 |                      | 
 | 83       | СФЕРА 2005 ООД                 | 103966059     | г░. Ва░на, │л. "Сава Рад│лов", |                 |                 |                      | 
 | 84       | БИЛДИНГ - 5 ЕТ                 | 813090742     | г░. Ва░на, │л. "Иван Бого░ов", |                 |                 |                      | 
 | 85       | АГППДП д-░ Ма░инов - д-░       | 148153124     | г░. Ва░на, │л. "С▓░│га", 21    |                 |                 |                      | 
 |          | С▓айкова                       |               |                                |                 |                 |                      | 
 +----------+--------------------------------+---------------+--------------------------------+-----------------+-----------------+----------------------+

Ли▒▓ No 2
 +----------+--------------------------------+---------------+--------------------------------+-----------------+-----------------+----------------------+
 | Код      | Име                            | ЕИК/ЕГН       | Ад░е▒                          | Теле┤он         | Фак▒            | e-mail               |
 +----------+--------------------------------+---------------+--------------------------------+-----------------+-----------------+----------------------+
 | 86       | ФОРМА ЕООД                     | 103925728     | г░. Ва░на, │л. "Ген. Скобелев" |                 |                 |                      | 
 | 87       | ФЕНИКС 2004 ЕООД               | 103882198     | г░. Ва░на, │л . "Ал. Малинов", |                 |                 |                      | 
 | 96       | ПИЕРО АД                       | 103819212     | Ва░на, │л. "Македони┐", 92-94  |                 |                 |                      | 
 | 97       | МИЛИ - 85 - Илиана Жекова ЕТ   | 118011980     | г░. Сили▒▓░а, │л. "Кап. К░║▒▓е |                 |                 |                      | 
 | 98       | ЯНКОМ - Янка Пе▓░ова ЕТ        | 103197931     | г░. Ва░на, ж.к. "Младо▒▓", бл. |                 |                 |                      | 
 | 99       | АЛИАНЦ БАНК БЪЛГАРИЯ АД        | 128001319     | г░. Со┤и┐, │л. "Ма░и┐ Л│иза",  |                 |                 |                      | 
 | 100      | АИППМП Д-░ Х░и▒▓ов ЕТ          | 103821170     | г░. Ва░на, б│л. "Вл. Ва░нен╖ик |                 |                 |                      | 
 | 101      | ФИДЖИ ООД                      | 103283017     | г░. Ва░на, │л. "Селиол│", ╣17  |                 |                 |                      | 
 | 102      | Д-░ Хи╢ова ЕТ                  | 110505169     | г░. Лове╖, │л. "О▒║м▒ка", 6    |                 |                 |                      | 
 | 103      | ЮЛНЦ "Ф│▓болен кл│б Спа░▓ак    | 175748184     | г░. Ва░на, ж.к. "Изг░ев", ╣ 89 |                 |                 |                      | 
 |          | 1918"                          |               |                                |                 |                 |                      | 
 | 104      | НИС СТРОЙ ЕООД                 | 200758980     | г░. Ва░на, │л. "Ф. Кани╢", 17  |                 |                 |                      | 
