          С П Р А В К А    Н А Л И Ч Н О С Т И    К Ъ М    Д А Т А   30.09.2014

 
 Обект        : СКЛАД СЕЛЕКТ                                      
 Група стоки  : ЕЛ. МАТЕРИАЛИ                 
 +----------+-----------------+----------+-------+-------+-------+------------+------------+------------+
 |Катал. Nо | Артикул         | Колич-во |Ц прид.|П.ц+ДДС|П.ц-ДДС| Ст-ст прид.| Прод.ст+ДДС| Прод.ст-ДДС|
 |          |радиатор 3000 W  |          |       |       |       |            |            |            |
 |14032     |Нагревател       |      1.00|   7.90|  11.87|   8.17|        7.90|       11.87|        8.17|
 |          |радиатор 3000 W  |          |       |       |       |            |            |            |
 |14040     |Спирала 1000 W   |     12.00|   1.25|   3.75|   2.50|       15.00|       45.00|       30.00|
 |          |за Ела           |          |       |       |       |            |            |            |
 |14044     |Спирала 1000 W   |      5.00|   0.40|   0.90|   0.60|        2.00|        4.50|        3.00|
 |          |за Лъч           |          |       |       |       |            |            |            |
 |14034     |Спирала 1000 W с |     45.00|   0.50|   0.95|   0.66|       22.50|       42.75|       29.70|
 |          |кабелни обувки   |          |       |       |       |            |            |            |
 |14042     |Спирала 1250 W   |     14.00|   2.00|   3.60|   2.50|       28.00|       50.40|       35.00|
 |          |за радиатор      |          |       |       |       |            |            |            |
 |14043     |Спирала 1330 W   |     32.00|   1.20|   1.89|   1.30|       38.40|       60.48|       41.60|
 |          |за Изгрев,       |          |       |       |       |            |            |            |
 |          |Металургия       |          |       |       |       |            |            |            |
 |14036     |Спирала 2000 W с |     36.00|   0.40|   0.75|   0.48|       14.40|       27.00|       17.28|
 |          |кабелни обувки   |          |       |       |       |            |            |            |
 |14041     |Спирала 800 W за |      4.00|   0.30|   0.75|   0.52|        1.20|        3.00|        2.08|
 |          |Елва кварц       |          |       |       |       |            |            |            |
 |14039     |Спирала 800 W за |      2.00|   0.40|   0.75|   0.52|        0.80|        1.50|        1.04|
 |          |Елва, Лъч,       |          |       |       |       |            |            |            |
 |          |калорифер        |          |       |       |       |            |            |            |

 |14045     |Стъкло           |     12.00|   2.20|   3.45|   2.30|       26.40|       41.40|       27.60|
 |          |Прити,Металик    |          |       |       |       |            |            |            |
 |          |180/305          |          |       |       |       |            |            |            |
 |14035     |ТРМ 160 С        |      7.00|   5.80|   8.78|   6.17|       40.60|       61.46|       43.19|
 |14020     |ТРМ 65 С         |      2.00|   2.70|   4.37|   3.00|        5.40|        8.74|        6.00|
 |          |радиатор внос    |          |       |       |       |            |            |            |
 +----------+-----------------+----------+-------+-------+-------+------------+------------+------------+
 |Общо за: РЧ ОТОПЛ. УРЕДИ    |    331.00|       |       |       |      444.36|      791.52|      543.17|
 Група стоки  : РЧ УРЕДИ ROTEL                
 +----------+-----------------+----------+-------+-------+-------+------------+------------+------------+
 |Катал. Nо | Артикул         | Колич-во |Ц прид.|П.ц+ДДС|П.ц-ДДС| Ст-ст прид.| Прод.ст+ДДС| Прод.ст-ДДС|
 +----------+-----------------+----------+-------+-------+-------+------------+------------+------------+
 |2248000043|Бойлер кпл.      |      4.00|  11.33|  18.90|  13.50|       45.32|       75.60|       54.00|
 |2249000181|Бойлер кпл.      |      5.00|  26.07|  51.50|  37.50|      130.38|      257.50|      187.50|
 |2250000009|Бойлер кпл.      |      5.00|  26.72|  37.90|  28.50|      133.60|      189.50|      142.50|
 |2224000001|Бункер кафе      |      1.00|   0.05|   0.45|   0.15|        0.05|        0.45|        0.15|
 |6127170111|Бъркалки U31.3   |     11.00|   0.89|   3.70|   2.75|        9.77|       40.70|       30.25|
 |6127170111|Бъркалки U31.3   |      5.00|   2.65|   3.70|   2.75|       13.26|       18.50|       13.75|
 |6120300181|Вана за вода     |      3.00|   0.49|   4.15|   0.75|        1.47|       12.45|        2.25|
 |6120300371|Вентил щанга     |      4.00|   0.51|   1.25|   0.75|        2.04|        5.00|        3.00|
 |2404000021|Двигател U40.4   |      2.00|   6.74|  10.90|   7.50|       13.47|       21.80|       15.00|
 |2408000003|Двоен дисков нож |      2.00|   0.10|  24.90|   0.00|        0.20|       49.80|        0.00|
 |2882000016|Ел. вентил       |     10.00|   6.66|   8.90|   7.00|       66.60|       89.00|       70.00|
 |9694000016|Ел. платка       |      2.00|   0.21|   2.90|   1.50|        0.42|        5.80|        3.00|
 |2622000004|Ел. платка       |      7.00|   0.52|   1.60|   1.00|        3.64|       11.20|        7.00|
 |9690501013|Ел. платка       |      1.00|   0.60|  16.90|   0.00|        0.60|       16.90|        0.00|
 |2435000002|Ел. платка /     |      2.00|   0.01|   2.50|   2.50|        0.02|        5.00|        5.00|
 |          |бутон /          |          |       |       |       |            |            |            |
 |2435000002|Ел. платка /     |      1.00|   1.00|   2.50|   2.50|        1.00|        2.50|        2.50|
 |          |бутон /          |          |       |       |       |            |            |            |
 |2408000006|Задвижващо колело|      1.00|   0.10|   3.98|   0.00|        0.10|        3.98|        0.00|
 |2404000020|Зъбно колело     |      2.00|   0.18|   2.60|   1.60|        0.36|        5.20|        3.20|
 |2404000020|Зъбно колело     |      9.00|   0.19|   2.60|   1.60|        1.68|       23.40|       14.40|
 |2404000008|Зъбно колело     |      4.00|   0.42|   2.70|   1.70|        1.67|       10.80|        6.80|
 |2404000008|Зъбно колело     |      2.00|   0.42|   2.70|   1.70|        0.84|        5.40|        3.40|
 |2373000008|Зъбно колело     |      1.00|   0.50|   0.70|   0.75|        0.50|        0.70|        0.75|
 |2435000019|Зъбно колело     |      1.00|   2.82|   4.70|   3.20|        2.82|        4.70|        3.20|
 |2491000012|Зъбно колело щ3  |      1.00|   0.14|   4.85|   3.20|        0.14|        4.85|        3.20|
 |2248000033|Зъбно колело с ос|      4.00|   6.58|   9.80|   7.00|       26.33|       39.20|       28.00|
 |2248000030|Изхвъргач        |      3.00|   0.55|   1.25|   0.75|        1.65|        3.75|        2.25|
 |2248000030|Изхвъргач        |      6.00|   0.55|   1.25|   0.75|        3.31|        7.50|        4.50|
 |2248000029|Камък конусен    |      1.00|   5.46|   6.70|   5.90|        5.46|        6.70|        5.90|
 |2473000003|Кана U 47.3      |      1.00|   8.47|   0.00|   0.00|        8.47|        0.00|        0.00|
 |2474000059|Кана U 47.4      |      3.00|   7.13|   0.00|   0.00|       21.40|        0.00|        0.00|
 |6120300601|Капак за кана    |      2.00|   0.04|   0.30|   0.15|        0.08|        0.60|        0.30|
 |2435000005|Капак купа       |      1.00|   2.60|   5.30|   0.00|        2.60|        5.30|        0.00|
 |2402000022|Ключ за U40.8    |      1.00|   1.00|   2.40|   0.00|        1.00|        2.40|        0.00|
 |2248000028|Коляно           |      3.00|   3.24|   5.60|   3.50|        9.72|       16.80|       10.50|
