          С П Р А В К А    Н А Л И Ч Н О С Т И    К Ъ М    Д А Т А   01.01.2014

 
 Обект        : СКЛАД СЕЛЕКТ                                      
 Група стоки  : ЕЛ. МАТЕРИАЛИ                 
 +----------+-----------------+----------+-------+-------+-------+------------+------------+------------+
 |Катал. Nо | Артикул         | Колич-во |Ц прид.|П.ц+ДДС|П.ц-ДДС| Ст-ст прид.| Прод.ст+ДДС| Прод.ст-ДДС|
 |3208      |Чопър BL - 4009  |      2.00|  19.34|  27.00|  20.00|       38.67|       54.00|       40.00|
 |3601      |Чушкопек ед.     |      3.00|  15.83|  28.90|  19.00|       47.49|       86.70|       57.00|
 |2814      |Ютия ST - 8142   |      2.00|  12.66|  18.00|  13.25|       25.33|       36.00|       26.50|
 |2815      |Ютия ST - 8227   |      1.00|  18.00|  26.90|  20.00|       18.00|       26.90|       20.00|
 +----------+-----------------+----------+-------+-------+-------+------------+------------+------------+
 |Общо за: УРЕДИ              |    166.00|       |       |       |     7717.89|    11131.60|     8508.80|
 Група стоки  : УРЕДИ ROTEL                   
 +----------+-----------------+----------+-------+-------+-------+------------+------------+------------+
 |Катал. Nо | Артикул         | Колич-во |Ц прид.|П.ц+ДДС|П.ц-ДДС| Ст-ст прид.| Прод.ст+ДДС| Прод.ст-ДДС|
 +----------+-----------------+----------+-------+-------+-------+------------+------------+------------+
 |U 41.4    |Ел.нож           |      1.00|  21.35|  26.90|  22.25|       21.35|       26.90|       22.25|
 |U 40.5    |Ел.нож           |      2.00|  25.97|  31.90|  26.55|       51.94|       63.80|       53.10|
 |U 24.4    |Еспресомашина    |      2.00| 134.47| 199.90| 166.00|      268.93|      399.80|      332.00|
 |U 24.4    |Еспресомашина    |      1.00| 160.64| 199.90| 166.00|      160.64|      199.90|      166.00|
 |U 25.3    |Еспресомашина    |      1.00| 180.94| 219.90| 183.00|      180.94|      219.90|      183.00|
 |U 25.3    |Еспресомашина    |      6.00| 181.17| 219.90| 183.00|     1087.04|     1319.40|     1098.00|
 |U 12.5    |Партигрил с      |      1.00|  72.38|  99.90|  83.25|       72.38|       99.90|       83.25|
 |          |каменна плоча    |          |       |       |       |            |            |            |
 |U 71.5    |Печка            |      3.00|  39.18|  47.90|  39.90|      117.54|      143.70|      119.70|
 |          |вентилаторна     |          |       |       |       |            |            |            |
 |U 62.8    |Прахосмукачка    |      1.00|  92.05| 110.90|  92.40|       92.05|      110.90|       92.40|
 |U 69.3    |Прахосмукачка    |      2.00| 110.71| 139.90| 116.50|      221.42|      279.80|      233.00|
 |U 49.9    |Приставка домати |      3.00|  25.56|  31.90|  26.55|       76.69|       95.70|       79.65|
 |U 49.9    |Приставка домати |      1.00|  25.87|  31.90|  26.55|       25.87|       31.90|       26.55|
 |U 49.8    |Приставка        |      2.00|  43.25|  51.90|  43.25|       86.50|      103.80|       86.50|
 |          |подправки        |          |       |       |       |            |            |            |
 |U 73.5    |Радиатор         |      2.00|  87.20| 105.90|  88.25|      174.40|      211.80|      176.50|
 |U 17.0    |Сандвич тостер   |      1.00|  24.42|  31.90|  25.00|       24.42|       31.90|       25.00|
 |U 17.1    |Сандвич тостер   |      2.00|  41.00|  49.90|  41.50|       82.00|       99.80|       83.00|
 |U 49.5    |Стъргало         |      5.00|  25.57|  33.90|  28.25|      127.85|      169.50|      141.25|
 |U 14.6    |Уред за          |      5.00|  35.51|  49.90|  41.55|      177.55|      249.50|      207.75|
 |          |вакуумиране      |          |       |       |       |            |            |            |
 |U 14.5    |Уред за          |      3.00|  71.98|  86.90|  72.40|      215.94|      260.70|      217.20|
 |          |вакуумиране      |          |       |       |       |            |            |            |
