          С П Р А В К А    Н А Л И Ч Н О С Т И    К Ъ М    Д А Т А   01.01.2014

 
 Обект        : СКЛАД СЕЛЕКТ                                      
 Група стоки  : ЕЛ. МАТЕРИАЛИ                 
 +----------+-----------------+----------+-------+-------+-------+------------+------------+------------+
 |Катал. Nо | Артикул         | Колич-во |Ц прид.|П.ц+ДДС|П.ц-ДДС| Ст-ст прид.| Прод.ст+ДДС| Прод.ст-ДДС|
 |          |голяма           |          |       |       |       |            |            |            |
 |11009     |Врътка Алфа малка|      9.00|   0.50|   0.55|   0.55|        4.50|        4.95|        4.95|
 |11005     |Врътка Дипломат  |      7.00|   0.56|   1.10|   0.75|        3.94|        7.70|        5.25|
 |11006     |Втулка аноден    |     30.00|   0.11|   0.30|   0.20|        3.19|        9.00|        6.00|
 |          |протектор        |          |       |       |       |            |            |            |
 |11007     |Втулка           |     98.00|   0.11|   0.25|   0.15|       11.03|       24.50|       14.70|
 |          |нагревател ем.   |          |       |       |       |            |            |            |
 |          |б-р              |          |       |       |       |            |            |            |
 |11016     |Капачка 5л б-р   |      2.00|   1.40|   1.50|   1.50|        2.80|        3.00|        3.00|
 |11018     |Ключ 050         |      6.00|   2.67|   4.50|   4.50|       16.00|       27.00|       27.00|
 |11021     |Ключ светещ 16А  |      2.00|   1.35|   2.00|   2.00|        2.70|        4.00|        4.00|
 |          |внос за б-р      |          |       |       |       |            |            |            |
 |11021     |Ключ светещ 16А  |      2.00|   1.40|   2.00|   2.00|        2.80|        4.00|        4.00|
 |          |внос за б-р      |          |       |       |       |            |            |            |
 |11021     |Ключ светещ 16А  |      9.00|   1.49|   2.00|   2.00|       13.37|       18.00|       18.00|
 |          |внос за б-р      |          |       |       |       |            |            |            |
 |11023     |Кран Дипломат    |      1.00|   3.25|   4.00|   4.00|        3.25|        4.00|        4.00|
 |11025     |Мембрана Релакс  |      9.00|   0.35|   0.54|   0.35|        3.15|        4.86|        3.15|
 |11028     |Микропрекъсвач   |      2.00|   1.65|   1.85|   1.85|        3.30|        3.70|        3.70|
 |          |16А              |          |       |       |       |            |            |            |
 |11029     |Микропрекъсвач   |      6.00|   1.80|   2.00|   2.00|       10.80|       12.00|       12.00|
 |          |20А              |          |       |       |       |            |            |            |
 |11030     |Муфа за Релакс   |      1.00|   0.79|   0.80|   0.80|        0.79|        0.80|        0.80|
 |11054     |Нагревател       |      1.00|  14.00|  16.50|  16.50|       14.00|       16.50|       16.50|
 |          |Релакс под нал.  |          |       |       |       |            |            |            |
 |11059     |Нагревател Термо |      7.00|   3.20|   4.80|   4.80|       22.40|       33.60|       33.60|
 |          |6                |          |       |       |       |            |            |            |
 |11035     |Нагревател Юнга  |      4.00|   7.55|   7.90|   7.90|       30.20|       31.60|       31.60|
 |          |4000 W           |          |       |       |       |            |            |            |
 |11051     |Нагревател Юнга  |      4.00|  10.00|  12.00|  12.00|       40.00|       48.00|       48.00|
 |          |6000 W           |          |       |       |       |            |            |            |

 |11036     |Нагревател б-р   |      4.00|   4.95|   6.00|   6.00|       19.80|       24.00|       24.00|
 |          |1000 W мед       |          |       |       |       |            |            |            |
 |11037     |Нагревател б-р   |      1.00|   4.05|   5.40|   5.40|        4.05|        5.40|        5.40|
 |          |1000 W никротал  |          |       |       |       |            |            |            |
 |11052     |Нагревател б-р   |      1.00|  10.53|  10.70|  10.70|       10.53|       10.70|       10.70|
 |          |10л Елдом        |          |       |       |       |            |            |            |
 |11053     |Нагревател б-р   |      1.00|  12.78|  12.60|  12.60|       12.78|       12.60|       12.60|
 |          |10л под нал.     |          |       |       |       |            |            |            |
 |          |Елдом            |          |       |       |       |            |            |            |
 |11038     |Нагревател б-р   |      2.00|  10.71|  11.50|  11.50|       21.42|       23.00|       23.00|
 |          |2000 W никелиран |          |       |       |       |            |            |            |
 |          |Елдом            |          |       |       |       |            |            |            |
 |11041     |Нагревател б-р   |      2.00|   3.75|   5.25|   5.25|        7.50|       10.50|       10.50|
 |          |2000 W никротал  |          |       |       |       |            |            |            |
 |11044     |Нагревател б-р   |      7.00|   4.17|  12.90|  12.90|       29.17|       90.30|       90.30|
 |          |3000 W никелиран |          |       |       |       |            |            |            |
 |          |Елдом            |          |       |       |       |            |            |            |
 |11061     |Нагревател б-р   |      1.00|   7.50|  15.50|  15.50|        7.50|       15.50|       15.50|
 |          |Теси 3000 W      |          |       |       |       |            |            |            |
 |11063     |Нагревател б-р   |      1.00|  11.75|  12.75|  12.75|       11.75|       12.75|       12.75|
 |          |Фламина 1500 W   |          |       |       |       |            |            |            |
 |11027     |Нагревател б-р   |      1.00|  12.42|  14.10|  14.10|       12.42|       14.10|       14.10|
 |          |Фламина 2000 W   |          |       |       |       |            |            |            |
 |11064     |Нагревател б-р   |      1.00|  13.41|  16.58|  16.58|       13.41|       16.58|       16.58|
 |          |Фламина 2500 W   |          |       |       |       |            |            |            |
 |11163     |Нагревател б-р   |      1.00|  15.57|   0.00|   0.00|       15.57|        0.00|        0.00|
 |          |Фламина 3000 W   |          |       |       |       |            |            |            |
 |11100     |Пресостат        |      9.00|   4.20|   6.85|   5.00|       37.80|       61.65|       45.00|
 |          |Дипломат         |          |       |       |       |            |            |            |
 |11076     |Пресостат Релакс |      2.00|   4.32|   3.45|   3.45|        8.63|        6.90|        6.90|
 |11072     |Резервоар        |      1.00|   5.44|   4.50|   4.50|        5.44|        4.50|        4.50|
 |          |Дипломат         |          |       |       |       |            |            |            |
 |11073     |Резервоар Релакс |      1.00|   7.91|   9.68|   9.68|        7.91|        9.68|        9.68|
 |11074     |Резервоар Релакс |      1.00|   7.00|  10.00|  10.00|        7.00|       10.00|       10.00|
 |          |под налягане     |          |       |       |       |            |            |            |
 |11075     |Резервоар Юнга   |      3.00|   4.10|   4.00|   4.00|       12.30|       12.00|       12.00|
 |          |н.м.             |          |       |       |       |            |            |            |
 |11156     |Ръкохватка GR 40 |      2.00|   0.20|   0.45|   0.35|        0.40|        0.90|        0.70|
 |11156     |Ръкохватка GR 40 |     15.00|   0.22|   0.45|   0.35|        3.30|        6.75|        5.25|
 |11157     |Ръкохватка GRG 41|      8.00|   0.50|   0.95|   0.70|        4.00|        7.60|        5.60|
 |11157     |Ръкохватка GRG 41|      1.00|   0.58|   0.95|   0.70|        0.58|        0.95|        0.70|
 |11158     |Ръкохватка NI 41 |      8.00|   0.40|   1.55|   1.15|        3.20|       12.40|        9.20|
 |11158     |Ръкохватка NI 41 |      3.00|   0.75|   1.55|   1.15|        2.25|        4.65|        3.45|
 |11158     |Ръкохватка NI 41 |      1.00|   1.00|   1.55|   1.15|        1.00|        1.55|        1.15|
 |11077     |Ръкохватка Юнга  |      2.00|   0.15|   0.45|   0.30|        0.30|        0.90|        0.60|
 |11078     |Смесителна       |      1.00|  18.33|  20.00|  20.00|       18.33|       20.00|       20.00|
 |          |батерия Юнга     |          |       |       |       |            |            |            |
 |11088     |ТО двуполюсен    |     19.00|   3.75|   5.68|   4.10|       71.25|      107.92|       77.90|
 |11090     |ТО за б-р нов    |      5.00|   6.30|   9.58|   6.80|       31.50|       47.90|       34.00|
 |          |модел            |          |       |       |       |            |            |            |
 |11091     |ТО за ем. б-р    |      4.00|   2.52|   3.69|   2.60|       10.08|       14.76|       10.40|
 |11099     |ТР Термоват 16А  |      4.00|   7.79|  13.49|   9.58|       31.14|       53.96|       38.32|
 |11099     |ТР Термоват 16А  |      2.00|  11.70|  13.49|   9.58|       23.40|       26.98|       19.16|
 |11101     |ТР Термоват 20А  |      2.00|   8.46|  15.98|  11.10|       16.92|       31.96|       22.20|
 |11105     |ТРМ 75 С СОTHERM |      5.00|   6.97|  10.98|   7.75|       34.88|       54.90|       38.75|
 |          |20А              |          |       |       |       |            |            |            |
 |11104     |ТРМ 75 С внос    |      1.00|   3.75|   7.98|   5.50|        3.75|        7.98|        5.50|
 |11083     |Табло за б-р     |      3.00|   8.55|  12.98|   9.25|       25.65|       38.94|       27.75|
 |          |тройно           |          |       |       |       |            |            |            |
 |11087     |Термометър за    |     22.00|   1.85|   3.14|   2.17|       40.70|       69.08|       47.74|
 |          |б-р              |          |       |       |       |            |            |            |
 |11114     |Уплътнител       |      5.00|   0.14|   0.45|   0.30|        0.68|        2.25|        1.50|
 |          |аноден протектор |          |       |       |       |            |            |            |
 |11114     |Уплътнител       |     10.00|   0.21|   0.45|   0.30|        2.13|        4.50|        3.00|
 |          |аноден протектор |          |       |       |       |            |            |            |
 |11107     |Уплътнител       |      1.00|   0.36|   0.55|   0.36|        0.36|        0.55|        0.36|
 |          |мембрана Юнга    |          |       |       |       |            |            |            |
 |11108     |Уплътнител нагр. |      5.00|   0.68|   2.16|   1.50|        3.38|       10.80|        7.50|
 |          |Юнга н.м.        |          |       |       |       |            |            |            |
 |11111     |Уплътнител нагр. |      1.00|   0.30|   0.54|   0.36|        0.30|        0.54|        0.36|
 |          |Юнга ст.м.       |          |       |       |       |            |            |            |
 |11115     |Уплътнител нагр. |    334.00|   0.12|   0.30|   0.20|       40.08|      100.20|       66.80|
 |          |ем. б-р          |          |       |       |       |            |            |            |
 |11116     |Уплътнител       |      4.00|   0.32|   0.85|   0.55|        1.26|        3.40|        2.20|
 |          |нагр.комбиниран  |          |       |       |       |            |            |            |
 |          |б-р              |          |       |       |       |            |            |            |
 |11117     |Уплътнител       |     12.00|   2.00|   2.89|   1.90|       24.00|       34.68|       22.80|
 |          |резервоар Релакс |          |       |       |       |            |            |            |
 |          |кпл.             |          |       |       |       |            |            |            |

 |11118     |Уплътнител       |      5.00|   0.30|   1.82|   1.25|        1.50|        9.10|        6.25|
 |          |фланец 5л б-р    |          |       |       |       |            |            |            |
 |11122     |Уплътнител       |      4.00|   1.13|   1.28|   0.72|        4.50|        5.12|        2.88|
 |          |фланец Теси      |          |       |       |       |            |            |            |
 |11123     |Уплътнител       |      4.00|   0.68|   0.90|   0.60|        2.70|        3.60|        2.40|
 |          |фланец Юнга      |          |       |       |       |            |            |            |
 |11119     |Уплътнител       |      1.00|   0.63|   1.15|   0.75|        0.63|        1.15|        0.75|
 |          |фланец елипса    |          |       |       |       |            |            |            |
 |11119     |Уплътнител       |      1.00|   0.76|   1.15|   0.75|        0.76|        1.15|        0.75|
 |          |фланец елипса    |          |       |       |       |            |            |            |
 |11120     |Уплътнител       |      7.00|   0.81|   1.15|   0.75|        5.67|        8.05|        5.25|
 |          |фланец кръгъл    |          |       |       |       |            |            |            |
 |          |малък            |          |       |       |       |            |            |            |
 |11140     |Фланец Релакс    |     31.00|   1.35|   2.38|   1.50|       41.85|       73.78|       46.50|
 |11133     |Фланец елипса    |      3.00|   5.08|   6.98|   5.30|       15.26|       20.94|       15.90|
 |11135     |Фланец           |      1.00|   5.10|   6.98|   5.30|        5.10|        6.98|        5.30|
 |          |комбиниран б-р   |          |       |       |       |            |            |            |
 |11136     |Фланец кръгъл    |      2.00|   5.50|   8.26|   6.20|       11.00|       16.52|       12.40|
 |          |малък            |          |       |       |       |            |            |            |
 |11142     |Фланец с нагр.   |      1.00|   7.25|  13.68|   9.83|        7.25|       13.68|        9.83|
 |          |Юнга             |          |       |       |       |            |            |            |
 |11124     |Хидравличен блок |      2.00|   2.16|   5.69|   4.00|        4.32|       11.38|        8.00|
 |          |Юнга             |          |       |       |       |            |            |            |
 |11126     |Черупка горна 5л |      3.00|   4.74|   7.19|   4.95|       14.21|       21.57|       14.85|
 |          |б-р н.м.         |          |       |       |       |            |            |            |
 |11145     |Шланг гъвкав 100 |      2.00|   2.52|   4.78|   3.20|        5.04|        9.56|        6.40|
 |          |см               |          |       |       |       |            |            |            |
 |11149     |Шланг гъвкав 30  |      5.00|   1.59|   3.38|   2.30|        7.95|       16.90|       11.50|
 |          |см               |          |       |       |       |            |            |            |
 |11149     |Шланг гъвкав 30  |      1.00|   1.60|   3.38|   2.30|        1.60|        3.38|        2.30|
 |          |см               |          |       |       |       |            |            |            |
 |11150     |Шланг гъвкав 40  |      5.00|   1.67|   3.58|   2.40|        8.34|       17.90|       12.00|
 |          |см               |          |       |       |       |            |            |            |
 |11152     |Шланг гъвкав 60  |      5.00|   2.00|   3.98|   2.67|       10.00|       19.90|       13.35|
 |          |см               |          |       |       |       |            |            |            |
 |11153     |Шланг гъвкав 70  |      2.00|   1.97|   4.18|   2.80|        3.93|        8.36|        5.60|
 |          |см               |          |       |       |       |            |            |            |
 |11153     |Шланг гъвкав 70  |      1.00|   2.15|   4.18|   2.80|        2.15|        4.18|        2.80|
 |          |см               |          |       |       |       |            |            |            |
 |11154     |Шланг гъвкав 80  |      2.00|   2.28|   4.36|   2.90|        4.56|        8.72|        5.80|
 |          |см               |          |       |       |       |            |            |            |
 |11144     |Шланг гъвкав 90  |      2.00|   2.42|   4.56|   3.05|        4.85|        9.12|        6.10|
 |          |см               |          |       |       |       |            |            |            |
 +----------+-----------------+----------+-------+-------+-------+------------+------------+------------+
 |Общо за: РЧ БОЙЛЕРИ         |    839.00|       |       |       |     1020.77|     1594.91|     1270.51|
 Група стоки  : РЧ ГОТВАРСКИ УРЕДИ            
 +----------+-----------------+----------+-------+-------+-------+------------+------------+------------+
 |Катал. Nо | Артикул         | Колич-во |Ц прид.|П.ц+ДДС|П.ц-ДДС| Ст-ст прид.| Прод.ст+ДДС| Прод.ст-ДДС|
 +----------+-----------------+----------+-------+-------+-------+------------+------------+------------+
 |13001     |Водач            |      3.00|   1.05|   1.46|   1.00|        3.15|        4.38|        3.00|
 |          |микровълнова     |          |       |       |       |            |            |            |
 |13002     |Врътка голяма    |     59.00|   0.30|   0.55|   0.35|       17.70|       32.45|       20.65|
 |          |бяла             |          |       |       |       |            |            |            |
 |13003     |Врътка голяма    |     65.00|   0.25|   0.50|   0.29|       16.25|       32.50|       18.85|
 |          |черна            |          |       |       |       |            |            |            |
 |13012     |Гривна ф220      |      4.00|   0.70|   1.28|   0.80|        2.80|        5.12|        3.20|
 |13084     |Кран сборка БВГ  |     12.00|   2.15|   3.36|   2.50|       25.80|       40.32|       30.00|
 |13085     |Нагревател       |      2.00|   4.95|   0.00|   0.00|        9.90|        0.00|        0.00|
 |          |LUXELL 650 W     |          |       |       |       |            |            |            |
 |13029     |Нагревател Бела  |      8.00|  13.50|  21.38|  14.80|      108.00|      171.04|      118.40|
 |          |900 W 2342 мм    |          |       |       |       |            |            |            |
 |13030     |Нагревател Бела  |      8.00|  12.15|  19.38|  13.40|       97.20|      155.04|      107.20|
 |          |1300 W 1858 мм   |          |       |       |       |            |            |            |
 |13090     |Нагревател ГП    |      1.00|   6.75|   0.00|   0.00|        6.75|        0.00|        0.00|
 |          |Дипломат горен   |          |       |       |       |            |            |            |
 |13051     |Нагревател ГП    |      2.00|   5.13|   9.98|   7.20|       10.26|       19.96|       14.40|
 |          |Дипломат долен   |          |       |       |       |            |            |            |
 |13023     |Нагревател       |      4.00|   6.65|   9.68|   6.65|       26.60|       38.72|       26.60|
 |          |Горене  950 W    |          |       |       |       |            |            |            |
 |          |1200 мм          |          |       |       |       |            |            |            |
 |13026     |Нагревател       |      1.00|   7.00|  11.38|   7.90|        7.00|       11.38|        7.90|
 |          |Горене 1150 W    |          |       |       |       |            |            |            |
 |          |1400 мм          |          |       |       |       |            |            |            |
 |13028     |Нагревател       |      4.00|   7.25|  11.48|   7.97|       29.00|       45.92|       31.88|
 |          |Горене 1200 W    |          |       |       |       |            |            |            |
 |          |1670 мм          |          |       |       |       |            |            |            |
 |13038     |Нагревател Мечта |      1.00|   6.30|   9.18|   6.65|        6.30|        9.18|        6.65|
 |          |1250 W           |          |       |       |       |            |            |            |
 |13040     |Нагревател Мечта |      2.00|   3.85|   5.98|   4.15|        7.70|       11.96|        8.30|
 |          |315 W долен      |          |       |       |       |            |            |            |

 |13041     |Нагревател Мечта |      2.00|   3.55|   5.48|   3.74|        7.10|       10.96|        7.48|
 |          |500 W            |          |       |       |       |            |            |            |
 |13043     |Нагревател Мечта |      2.00|   5.10|   7.66|   5.35|       10.20|       15.32|       10.70|
 |          |800 W            |          |       |       |       |            |            |            |
 |13043     |Нагревател Мечта |      1.00|   6.25|   7.66|   5.35|        6.25|        7.66|        5.35|
 |          |800 W            |          |       |       |       |            |            |            |
 |13022     |Нагревател       |      1.00|   6.97|  10.68|   7.42|        6.97|       10.68|        7.42|
 |          |Пауталия 1250 W  |          |       |       |       |            |            |            |
 |13031     |Нагревател       |      7.00|   3.80|   5.96|   4.10|       26.60|       41.72|       28.70|
 |          |Пауталия със     |          |       |       |       |            |            |            |
 |          |синци 1300 W     |          |       |       |       |            |            |            |
 |13054     |Нагревател       |      1.00|   4.30|   8.86|   6.38|        4.30|        8.86|        6.38|
 |          |Раховец 1250 W   |          |       |       |       |            |            |            |
 |13055     |Нагревател       |      2.00|   8.20|  11.96|   8.63|       16.40|       23.92|       17.26|
 |          |Раховец 2000 W   |          |       |       |       |            |            |            |
 |13058     |Нагревател       |      1.00|   8.50|  12.36|   8.95|        8.50|       12.36|        8.95|
 |          |Раховец 715 W    |          |       |       |       |            |            |            |
 |          |кпл.             |          |       |       |       |            |            |            |
 |13063     |Нагревател Терма |      4.00|   6.45|   9.69|   6.80|       25.80|       38.76|       27.20|
 |          |21-1250 W        |          |       |       |       |            |            |            |
 |13064     |Нагревател Терма |      1.00|   5.05|   7.98|   5.65|        5.05|        7.98|        5.65|
 |          |30-630 W         |          |       |       |       |            |            |            |
 |13067     |Нагревател Терма |      1.00|  13.90|  20.76|  14.90|       13.90|       20.76|       14.90|
 |          |3250 W кпл.      |          |       |       |       |            |            |            |
 |13065     |Нагревател Терма |     42.00|   5.15|   8.96|   6.43|      216.30|      376.32|      270.06|
 |          |40-630 W горен   |          |       |       |       |            |            |            |
 |13066     |Нагревател Терма |      2.00|   4.35|   9.96|   7.17|        8.70|       19.92|       14.34|
 |          |40-800 W долен   |          |       |       |       |            |            |            |
 |13044     |Нагревател       |     15.00|   1.05|   3.79|   2.65|       15.75|       56.85|       39.75|
 |          |пакетен 315 W    |          |       |       |       |            |            |            |
 |13044     |Нагревател       |     20.00|   1.25|   3.79|   2.65|       25.00|       75.80|       53.00|
 |          |пакетен 315 W    |          |       |       |       |            |            |            |
 |13052     |Нагревател       |      1.00|   3.90|   5.98|   3.97|        3.90|        5.98|        3.97|
 |          |фритюрник 1000 W |          |       |       |       |            |            |            |
 |13053     |Нагревател       |      5.00|   3.55|   5.68|   3.76|       17.75|       28.40|       18.80|
 |          |фритюрник 1250 W |          |       |       |       |            |            |            |
 |          |660 мм           |          |       |       |       |            |            |            |
 |13076     |Ролер            |      2.00|   2.40|   3.49|   2.40|        4.80|        6.98|        4.80|
 |          |микровълнова     |          |       |       |       |            |            |            |
 |13076     |Ролер            |      8.00|   2.45|   3.49|   2.40|       19.60|       27.92|       19.20|
 |          |микровълнова     |          |       |       |       |            |            |            |
 |13074     |ТРМ 320 С внос   |      2.00|   4.41|   7.79|   5.50|        8.82|       15.58|       11.00|
 |13075     |ТРМ 325 С        |      2.00|   5.85|   8.68|   6.17|       11.70|       17.36|       12.34|
 |13078     |ТРМ фритьоза     |      2.00|   6.10|   7.28|   0.00|       12.20|       14.56|        0.00|
 |13077     |Филтър за        |      1.00|   1.70|   2.10|   1.70|        1.70|        2.10|        1.70|
 |          |фритьоза         |          |       |       |       |            |            |            |
 |13083     |Филтърна лента   |      1.00|   0.50|   2.55|   1.60|        0.50|        2.55|        1.60|
 |13069     |ЧНП 1250 W ф180  |      1.00|   6.00|   9.48|   6.70|        6.00|        9.48|        6.70|
 |13069     |ЧНП 1250 W ф180  |      2.00|   7.50|   9.48|   6.70|       15.00|       18.96|       13.40|
 |13068     |ЧНП 800 W Ф145   |      1.00|   5.60|   7.98|   5.78|        5.60|        7.98|        5.78|
 +----------+-----------------+----------+-------+-------+-------+------------+------------+------------+
 |Общо за: РЧ ГОТВАРСКИ УРЕДИ |    306.00|       |       |       |      878.80|     1463.69|     1013.46|
 Група стоки  : РЧ ДРУГИ УРЕДИ                
 +----------+-----------------+----------+-------+-------+-------+------------+------------+------------+
 |Катал. Nо | Артикул         | Колич-во |Ц прид.|П.ц+ДДС|П.ц-ДДС| Ст-ст прид.| Прод.ст+ДДС| Прод.ст-ДДС|
 +----------+-----------------+----------+-------+-------+-------+------------+------------+------------+
 |12001     |Амортисьор Перла |     18.00|   2.10|   3.26|   2.20|       37.80|       58.68|       39.60|
 |12003     |Бобина стоп реле |      6.00|   2.10|   2.96|   2.10|       12.60|       17.76|       12.60|
 |12006     |Винтче Рига      |     76.00|   0.05|   0.15|   0.10|        3.80|       11.40|        7.60|
 |12015     |Каре помпа Аурика|      9.00|   3.20|   4.88|   3.30|       28.80|       43.92|       29.70|
 |12018     |Ключ клавишен    |      1.00|   3.60|   5.76|   4.20|        3.60|        5.76|        4.20|
 |          |Перла            |          |       |       |       |            |            |            |
 |12019     |Ключ флекс 10А   |      2.00|   3.30|   4.98|   3.50|        6.60|        9.96|        7.00|
 |12022     |Ключе трипоз.    |     10.00|   1.00|   1.56|   1.05|       10.00|       15.60|       10.50|
 |          |СОMPRESOR        |          |       |       |       |            |            |            |
 |          |несветещо        |          |       |       |       |            |            |            |
 |12026     |Кондензатор 10 mf|     10.00|   2.05|   3.39|   2.35|       20.50|       33.90|       23.50|
 |12027     |Кондензатор 12 mf|      2.00|   2.35|   3.49|   2.42|        4.70|        6.98|        4.84|
 |12029     |Кондензатор 16 mf|      1.00|   2.70|   4.29|   2.96|        2.70|        4.29|        2.96|
 |12030     |Кондензатор 20 mf|      1.00|   3.00|   4.59|   3.17|        3.00|        4.59|        3.17|
 |12034     |Кондензатор 4 mf |     20.00|   1.30|   2.98|   2.10|       26.00|       59.60|       42.00|
 |12034     |Кондензатор 4 mf |      1.00|   2.10|   2.98|   2.10|        2.10|        2.98|        2.10|
 |12024     |Кондензатор 40 mf|      1.00|   3.70|   5.49|   3.80|        3.70|        5.49|        3.80|
 |12036     |Кондензатор      |      1.00|   3.75|   5.96|   4.10|        3.75|        5.96|        4.10|
 |          |60/80 mf         |          |       |       |       |            |            |            |
 |12025     |Кондензатор 8 mf |      3.00|   1.58|   2.98|   2.05|        4.75|        8.94|        6.15|
 |12025     |Кондензатор 8 mf |      4.00|   1.90|   2.98|   2.05|        7.60|       11.92|        8.20|
 |12037     |Кондензатор      |      6.00|   4.15|   6.39|   4.40|       24.90|       38.34|       26.40|
 |          |80/100 mf        |          |       |       |       |            |            |            |

 |12038     |Кондензатор RLC  |      1.00|   5.53|   7.96|   5.55|        5.53|        7.96|        5.55|
 |12052     |Лагер 6000       |      8.00|   0.80|   1.56|   1.05|        6.40|       12.48|        8.40|
 |12053     |Лагер 6002       |      3.00|   0.95|   1.56|   1.07|        2.85|        4.68|        3.21|
 |12054     |Лагер 6003       |     27.00|   1.10|   1.90|   1.30|       29.70|       51.30|       35.10|
 |12056     |Лагер 6005       |     20.00|   1.40|   2.46|   1.68|       28.00|       49.20|       33.60|
 |12057     |Лагер 6006       |     25.00|   1.80|   3.08|   2.10|       45.00|       77.00|       52.50|
 |12058     |Лагер 6007       |     25.00|   2.05|   3.49|   2.42|       51.25|       87.25|       60.50|
 |12059     |Лагер 6010       |     25.00|   0.80|   2.00|   1.38|       20.00|       50.00|       34.50|
 |12059     |Лагер 6010       |      1.00|   1.30|   2.00|   1.38|        1.30|        2.00|        1.38|
 |12073     |Лагер 607        |     10.00|   0.90|   0.00|   0.00|        9.00|        0.00|        0.00|
 |12047     |Лагер 609        |     25.00|   0.75|   1.38|   0.95|       18.75|       34.50|       23.75|
 |12060     |Лагер 6200       |      6.00|   1.00|   1.68|   1.15|        6.00|       10.08|        6.90|
 |12060     |Лагер 6200       |      2.00|   1.15|   1.68|   1.15|        2.30|        3.36|        2.30|
 |12061     |Лагер 6201       |     10.00|   0.95|   1.75|   1.21|        9.50|       17.50|       12.10|
 |12061     |Лагер 6201       |      1.00|   1.05|   1.75|   1.21|        1.05|        1.75|        1.21|
 |12062     |Лагер 6202       |     34.00|   0.65|   1.78|   1.23|       22.10|       60.52|       41.82|
 |12062     |Лагер 6202       |      1.00|   1.20|   1.78|   1.23|        1.20|        1.78|        1.23|
 |12064     |Лагер 6204       |     18.00|   0.95|   2.20|   1.58|       17.10|       39.60|       28.44|
 |12064     |Лагер 6204       |      3.00|   1.50|   2.20|   1.58|        4.50|        6.60|        4.74|
 |12066     |Лагер 6207       |     25.00|   2.50|   4.39|   3.02|       62.50|      109.75|       75.50|
 |12048     |Лагер 624        |     60.00|   0.70|   1.26|   0.87|       42.00|       75.60|       52.20|
 |12049     |Лагер 626        |      5.00|   0.75|   1.26|   0.82|        3.75|        6.30|        4.10|
 |12050     |Лагер 627        |      2.00|   0.40|   1.26|   0.68|        0.80|        2.52|        1.36|
 |12050     |Лагер 627        |      3.00|   0.65|   1.26|   0.68|        1.95|        3.78|        2.04|
 |12051     |Лагер 629        |      2.00|   0.70|   1.26|   0.78|        1.40|        2.52|        1.56|
 |12051     |Лагер 629        |      1.00|   0.78|   1.26|   0.78|        0.78|        1.26|        0.78|
 |12185     |Лагер 6301       |     30.00|   1.10|   1.60|   1.20|       33.00|       48.00|       36.00|
 |12069     |Лагер 6304       |     10.00|   1.60|   2.65|   1.82|       16.00|       26.50|       18.20|
 |12070     |Лагер 6306       |     10.00|   2.40|   4.10|   2.78|       24.00|       41.00|       27.80|
 |12074     |Маншон Вятка     |      1.00|   5.40|   8.48|   5.58|        5.40|        8.48|        5.58|
 |12075     |Маншон Перла 04  |      1.00|   6.70|   9.78|   6.80|        6.70|        9.78|        6.80|
 |12080     |Маркуч Г-образен |      3.00|   1.20|   2.58|   1.60|        3.60|        7.74|        4.80|
 |          |Аурика           |          |       |       |       |            |            |            |
 |12086     |Маркуч изходящ 2м|      1.00|   1.70|   5.78|   4.35|        1.70|        5.78|        4.35|
 |12104     |Нагревател Перла |     12.00|   5.15|   7.56|   5.25|       61.80|       90.72|       63.00|
 |          |2400 W никротал  |          |       |       |       |            |            |            |
 |12178     |Нагревател Полар |     10.00|   1.20|   1.79|   1.25|       12.00|       17.90|       12.50|
 |12109     |Нагревател Роса  |      2.00|   4.45|   6.88|   4.80|        8.90|       13.76|        9.60|
 |          |никротал         |          |       |       |       |            |            |            |
 |12102     |Нагревател       |      2.00|  10.75|  14.98|  12.00|       21.50|       29.96|       24.00|
 |          |кафемашина       |          |       |       |       |            |            |            |
 |12106     |Нагревател       |      1.00|   0.55|   0.98|   0.65|        0.55|        0.98|        0.65|
 |          |поялник 100 W    |          |       |       |       |            |            |            |
 |12112     |Накрайник маркуч |      1.00|   0.65|   1.20|   0.71|        0.65|        1.20|        0.71|
 |          |прахосмукачка    |          |       |       |       |            |            |            |
 |12114     |Опорен пръстен   |      2.00|   1.18|   1.68|   1.20|        2.36|        3.36|        2.40|
 |12121     |Перка Рига       |     16.00|   1.50|   2.48|   2.00|       24.00|       39.68|       32.00|
 |12172     |Перка охл. двиг. |      1.00|   2.10|   3.26|   2.55|        2.10|        3.26|        2.55|
 |          |Перла голяма     |          |       |       |       |            |            |            |
 |12118     |Перка охл. двиг. |      7.00|   1.30|   2.24|   1.55|        9.10|       15.68|       10.85|
 |          |Перла малка      |          |       |       |       |            |            |            |
 |12119     |Перка охл. двиг. |      2.00|   1.10|   1.48|   1.00|        2.20|        2.96|        2.00|
 |          |Роса             |          |       |       |       |            |            |            |
 |12173     |Помпа 777        |      1.00|  16.00|  23.98|  17.75|       16.00|       23.98|       17.75|
 |          |многофункц.      |          |       |       |       |            |            |            |
 |12177     |Помпа            |      1.00|  15.00|  16.98|  12.10|       15.00|       16.98|       12.10|
 |          |вибрационна 30 W |          |       |       |       |            |            |            |
 |12128     |Прекъсвач        |      1.00|   3.97|   5.76|   3.35|        3.97|        5.76|        3.35|
 |          |центробежен      |          |       |       |       |            |            |            |
